medalist_name,sport_gender,medal,gender,sport
Bair Badënov,male_archery,bronze,male,Archery
Ilario Di Buò,male_archery,silver,male,Archery
Im Dong-hyun,male_archery,gold,male,Archery
Jiang Lin,male_archery,bronze,male,Archery
Lee Chang-hwan,male_archery,gold,male,Archery
Li Wenquan,male_archery,bronze,male,Archery
Marco Galiazzo,male_archery,silver,male,Archery
Mauro Nespoli,male_archery,silver,male,Archery
Park Kyung-mo,male_archery,silver,male,Archery
Viktor Ruban,male_archery,gold,male,Archery
Xue Haifeng,male_archery,bronze,male,Archery
Bérengère Schuh,female_archery,bronze,female,Archery
Chen Ling,female_archery,silver,female,Archery
Guo Dan,female_archery,silver,female,Archery
Joo Hyun-Jung,female_archery,gold,female,Archery
Park Sung-hyun,female_archery,silver,female,Archery
Sophie Dodemont,female_archery,bronze,female,Archery
Virginie Arnold,female_archery,bronze,female,Archery
Yun Ok-hee,female_archery,bronze,female,Archery
Zhang Juanjuan,female_archery,gold,female,Archery
Aaron Armstrong,male_athletics,gold,male,Athletics
Ainārs Kovals,male_athletics,silver,male,Athletics
Alex Schwazer,male_athletics,gold,male,Athletics
Alfred Kirwa Yego,male_athletics,bronze,male,Athletics
Andrae Williams,male_athletics,silver,male,Athletics
Andreas Thorkildsen,male_athletics,gold,male,Athletics
Andrei Krauchanka,male_athletics,silver,male,Athletics
Andretti Bain,male_athletics,silver,male,Athletics
Andrew Steele,male_athletics,bronze,male,Athletics
Andrey Silnov,male_athletics,gold,male,Athletics
Angelo Taylor,male_athletics,gold,male,Athletics
Asbel Kiprop,male_athletics,gold,male,Athletics
Avard Moncur,male_athletics,silver,male,Athletics
Bershawn Jackson,male_athletics,bronze,male,Athletics
Brimin Kipruto,male_athletics,gold,male,Athletics
Bruno de Barros,male_athletics,bronze,male,Athletics
Bryan Clay,male_athletics,gold,male,Athletics
Chris Brown,male_athletics,silver,male,Athletics
Christian Cantwell,male_athletics,silver,male,Athletics
David Neville,male_athletics,bronze,male,Athletics
David Oliver,male_athletics,bronze,male,Athletics
David Payne,male_athletics,silver,male,Athletics
Dayron Robles,male_athletics,gold,male,Athletics
Denis Nizhegorodov,male_athletics,bronze,male,Athletics
Derek Miles,male_athletics,bronze,male,Athletics
Dylan Armstrong,male_athletics,bronze,male,Athletics
Edwin Soi,male_athletics,bronze,male,Athletics
Eliud Kipchoge,male_athletics,silver,male,Athletics
Emmanuel Callender,male_athletics,gold,male,Athletics
Gerd Kanter,male_athletics,gold,male,Athletics
Germaine Mason,male_athletics,silver,male,Athletics
Godfrey Khotso Mokoena,male_athletics,silver,male,Athletics
Ibrahim Camejo,male_athletics,bronze,male,Athletics
Irving Saladino,male_athletics,gold,male,Athletics
Ismail Ahmed Ismail,male_athletics,silver,male,Athletics
Ivan Tsikhan,male_athletics,bronze,male,Athletics
Jaouad Gharib,male_athletics,silver,male,Athletics
Jared Tallent,male_athletics,bronze,male,Athletics
Jefferson Pérez,male_athletics,silver,male,Athletics
Jeremy Wariner,male_athletics,silver,male,Athletics
José Carlos Moreira,male_athletics,bronze,male,Athletics
Kenenisa Bekele,male_athletics,gold,male,Athletics
Kerron Clement,male_athletics,silver,male,Athletics
Keston Bledman,male_athletics,gold,male,Athletics
LaShawn Merritt,male_athletics,gold,male,Athletics
Leevan Sands,male_athletics,bronze,male,Athletics
Leonel Suárez,male_athletics,bronze,male,Athletics
Mahiedine Mekhissi-Benabbad,male_athletics,silver,male,Athletics
Marc Burns,male_athletics,gold,male,Athletics
Martyn Rooney,male_athletics,bronze,male,Athletics
Mehdi Baala,male_athletics,bronze,male,Athletics
Micah Kogo,male_athletics,bronze,male,Athletics
Michael Bingham,male_athletics,bronze,male,Athletics
Michael Mathieu,male_athletics,silver,male,Athletics
Naoki Tsukahara,male_athletics,silver,male,Athletics
Nelson Évora,male_athletics,gold,male,Athletics
Nick Willis,male_athletics,silver,male,Athletics
Nobuharu Asahara,male_athletics,silver,male,Athletics
Phillips Idowu,male_athletics,silver,male,Athletics
Piotr Małachowski,male_athletics,silver,male,Athletics
Primož Kozmus,male_athletics,gold,male,Athletics
Ramon Miller,male_athletics,silver,male,Athletics
Reggie Witherspoon,male_athletics,gold,male,Athletics
Richard Mateelong,male_athletics,bronze,male,Athletics
Richard Thompson,male_athletics,silver,male,Athletics
Robert Tobin,male_athletics,bronze,male,Athletics
Samuel Wanjiru,male_athletics,gold,male,Athletics
Sandro Viana,male_athletics,bronze,male,Athletics
Shawn Crawford,male_athletics,silver,male,Athletics
Shingo Suetsugu,male_athletics,silver,male,Athletics
Shinji Takahira,male_athletics,silver,male,Athletics
Sileshi Sihine,male_athletics,silver,male,Athletics
Steve Hooker,male_athletics,gold,male,Athletics
Tero Pitkämäki,male_athletics,bronze,male,Athletics
Tomasz Majewski,male_athletics,gold,male,Athletics
Tsegaye Kebede,male_athletics,bronze,male,Athletics
Usain Bolt,male_athletics,gold,male,Athletics
Vadim Devyatovskiy,male_athletics,silver,male,Athletics
Valeriy Borchin,male_athletics,gold,male,Athletics
Vicente de Lima,male_athletics,bronze,male,Athletics
Virgilijus Alekna,male_athletics,bronze,male,Athletics
Walter Dix,male_athletics,bronze,male,Athletics
Wilfred Bungei,male_athletics,gold,male,Athletics
Yaroslav Rybakov,male_athletics,bronze,male,Athletics
Yevgeny Lukyanenko,male_athletics,silver,male,Athletics
Agnes Osazuwa,female_athletics,silver,female,Athletics
Allyson Felix,female_athletics,silver,female,Athletics
Anna Chicherova,female_athletics,bronze,female,Athletics
Barbora Špotáková,female_athletics,gold,female,Athletics
Blanka Vlašić,female_athletics,silver,female,Athletics
Blessing Okagbare,female_athletics,silver,female,Athletics
Bobby-Gaye Wilkins,female_athletics,silver,female,Athletics
Catherine Ndereba,female_athletics,silver,female,Athletics
Chelsea Hammond,female_athletics,bronze,female,Athletics
Christina Obergföll,female_athletics,bronze,female,Athletics
Christine Ohuruogu,female_athletics,gold,female,Athletics
Constantina Diță,female_athletics,gold,female,Athletics
Dawn Harper-Nelson,female_athletics,gold,female,Athletics
Elisa Rigaudo,female_athletics,bronze,female,Athletics
Ene Franca Idoko,female_athletics,silver,female,Athletics
Eunice Jepkorir,female_athletics,silver,female,Athletics
Françoise Mbango Etone,female_athletics,gold,female,Athletics
Gloria Kemasuode,female_athletics,silver,female,Athletics
Gong Lijiao,female_athletics,bronze,female,Athletics
Gölnara Galkina-Sämitevä,female_athletics,gold,female,Athletics
Halimat Ismaila,female_athletics,silver,female,Athletics
Hanna Mariën,female_athletics,gold,female,Athletics
Hasna Benhassi,female_athletics,bronze,female,Athletics
Hyleas Fountain,female_athletics,silver,female,Athletics
Iryna Lishchynska,female_athletics,silver,female,Athletics
Janeth Jepkosgei,female_athletics,silver,female,Athletics
Jennifer Suhr,female_athletics,silver,female,Athletics
Kelly Sotherton,female_athletics,bronze,female,Athletics
Kerron Stewart,female_athletics,bronze,female,Athletics
Kim Gevaert,female_athletics,gold,female,Athletics
Kjersti Plätzer,female_athletics,silver,female,Athletics
Linet Masai,female_athletics,bronze,female,Athletics
Lucimar de Moura,female_athletics,bronze,female,Athletics
Manuela Montebrun,female_athletics,bronze,female,Athletics
Marilyn Okoro,female_athletics,bronze,female,Athletics
Mariya Abakumova,female_athletics,silver,female,Athletics
Mary Wineberg,female_athletics,gold,female,Athletics
Maurren Maggi,female_athletics,gold,female,Athletics
Melaine Walker,female_athletics,gold,female,Athletics
Meseret Defar,female_athletics,silver,female,Athletics
Monique Henderson,female_athletics,gold,female,Athletics
Nancy Langat,female_athletics,gold,female,Athletics
Nataliya Dobrynska,female_athletics,gold,female,Athletics
Nataliya Tobias,female_athletics,bronze,female,Athletics
Natasha Hastings,female_athletics,gold,female,Athletics
Nicola Sanders,female_athletics,bronze,female,Athletics
Novlene Williams-Mills,female_athletics,silver,female,Athletics
Olena Antonova,female_athletics,silver,female,Athletics
Olga Kaniskina,female_athletics,gold,female,Athletics
Olivia Borlée,female_athletics,gold,female,Athletics
Oludamola Osayomi,female_athletics,silver,female,Athletics
Pamela Jelimo,female_athletics,gold,female,Athletics
Priscilla Lopes-Schliep,female_athletics,bronze,female,Athletics
Rosemar Coelho Neto,female_athletics,bronze,female,Athletics
Rosemarie Whyte,female_athletics,silver,female,Athletics
Rosângela Santos,female_athletics,bronze,female,Athletics
Sally Pearson,female_athletics,silver,female,Athletics
Sanya Richards-Ross,female_athletics,bronze,female,Athletics
Shalane Flanagan,female_athletics,silver,female,Athletics
Sheena Tosta,female_athletics,silver,female,Athletics
Shelly-Ann Fraser-Pryce,female_athletics,gold,female,Athletics
Shereefa Lloyd,female_athletics,silver,female,Athletics
Shericka Williams,female_athletics,silver,female,Athletics
Sherone Simpson,female_athletics,silver,female,Athletics
Song Aimin,female_athletics,bronze,female,Athletics
Stephanie Brown Trafton,female_athletics,gold,female,Athletics
Svetlana Feofanova,female_athletics,bronze,female,Athletics
Sylvia Jebiwott Kibet,female_athletics,bronze,female,Athletics
Tasha Danvers,female_athletics,bronze,female,Athletics
Tatyana Chernova,female_athletics,bronze,female,Athletics
Thaissa Presti,female_athletics,bronze,female,Athletics
Tia Hellebaut,female_athletics,gold,female,Athletics
Tirunesh Dibaba,female_athletics,gold,female,Athletics
Valerie Adams,female_athletics,gold,female,Athletics
Veronica Campbell-Brown,female_athletics,gold,female,Athletics
Yekaterina Volkova,female_athletics,bronze,female,Athletics
Yelena Isinbayeva,female_athletics,gold,female,Athletics
Yipsi Moreno,female_athletics,gold,female,Athletics
Zhang Wenxiu,female_athletics,silver,female,Athletics
Zhou Chunxiu,female_athletics,bronze,female,Athletics
Élodie Ouédraogo,female_athletics,gold,female,Athletics
Cai Yun,male_badminton,silver,male,Badminton
Chen Jin,male_badminton,bronze,male,Badminton
Fu Haifeng,male_badminton,silver,male,Badminton
He Hanbin,male_badminton,bronze,male,Badminton
Hendra Setiawan,male_badminton,gold,male,Badminton
Hwang Ji-man,male_badminton,bronze,male,Badminton
Lee Chong Wei,male_badminton,silver,male,Badminton
Lee Jae-jin,male_badminton,bronze,male,Badminton
Lee Yong-dae,male_badminton,gold,male,Badminton
Lin Dan,male_badminton,gold,male,Badminton
Markis Kido,male_badminton,gold,male,Badminton
Nova Widianto,male_badminton,silver,male,Badminton
Du Jing,female_badminton,gold,female,Badminton
Lee Hyo-jung,female_badminton,silver,female,Badminton
Lee Kyung-won,female_badminton,silver,female,Badminton
Liliyana Natsir,female_badminton,silver,female,Badminton
Maria Kristin Yulianti,female_badminton,bronze,female,Badminton
Wei Yili,female_badminton,bronze,female,Badminton
Xie Xingfang,female_badminton,silver,female,Badminton
Yu Yang,female_badminton,gold,female,Badminton
Zhang Ning,female_badminton,gold,female,Badminton
Zhang Yawen,female_badminton,bronze,female,Badminton
Adiel Palma,male_baseball,silver,male,Baseball
Alexander Malleta,male_baseball,silver,male,Baseball
Alexei Bell,male_baseball,silver,male,Baseball
Alfredo Despaigne,male_baseball,silver,male,Baseball
Ariel Pestano,male_baseball,silver,male,Baseball
Blaine Neal,male_baseball,bronze,male,Baseball
Bong Jung-keun,male_baseball,gold,male,Baseball
Brandon Knight,male_baseball,bronze,male,Baseball
Brett Anderson,male_baseball,bronze,male,Baseball
Brian Barden,male_baseball,bronze,male,Baseball
Brian Duensing,male_baseball,bronze,male,Baseball
Casey Weathers,male_baseball,bronze,male,Baseball
Chong Tae-hyon,male_baseball,gold,male,Baseball
Dexter Fowler,male_baseball,bronze,male,Baseball
Eduardo Paret,male_baseball,silver,male,Baseball
Elier Sánchez,male_baseball,silver,male,Baseball
Eriel Sánchez,male_baseball,silver,male,Baseball
Frederich Cepeda,male_baseball,silver,male,Baseball
Giorvis Duvergel,male_baseball,silver,male,Baseball
Han Ki-joo,male_baseball,gold,male,Baseball
Hyun-jin Ryu,male_baseball,gold,male,Baseball
Héctor Olivera,male_baseball,silver,male,Baseball
Jake Arrieta,male_baseball,bronze,male,Baseball
Jang Won-sam,male_baseball,gold,male,Baseball
Jason Donald,male_baseball,bronze,male,Baseball
Jayson Nix,male_baseball,bronze,male,Baseball
Jeff Stevens,male_baseball,bronze,male,Baseball
Jeong Keun-woo,male_baseball,gold,male,Baseball
Jeremy Cummings,male_baseball,bronze,male,Baseball
Jin Kab-yong,male_baseball,gold,male,Baseball
John Gall,male_baseball,bronze,male,Baseball
Jonder Martínez,male_baseball,silver,male,Baseball
Kang Min-ho,male_baseball,gold,male,Baseball
Kevin Jepsen,male_baseball,bronze,male,Baseball
Kim Dong-ju,male_baseball,gold,male,Baseball
Kim Hyun-soo,male_baseball,gold,male,Baseball
Kim Kwang-hyun,male_baseball,gold,male,Baseball
Kim Min-jae,male_baseball,gold,male,Baseball
Ko Young-min,male_baseball,gold,male,Baseball
Kwon Hyuk,male_baseball,gold,male,Baseball
Lee Dae-ho,male_baseball,gold,male,Baseball
Lee Jin-young,male_baseball,gold,male,Baseball
Lee Jong-wook,male_baseball,gold,male,Baseball
Lee Seung-yuop,male_baseball,gold,male,Baseball
Lee Taek-keun,male_baseball,gold,male,Baseball
Lee Yong-kyu,male_baseball,gold,male,Baseball
Lou Marson,male_baseball,bronze,male,Baseball
Luis Miguel Navas,male_baseball,silver,male,Baseball
Luis Miguel Rodríguez,male_baseball,silver,male,Baseball
Matt LaPorta,male_baseball,bronze,male,Baseball
Matthew Brown,male_baseball,bronze,male,Baseball
Michel Enríquez,male_baseball,silver,male,Baseball
Miguel Lahera,male_baseball,silver,male,Baseball
Mike Hessman,male_baseball,bronze,male,Baseball
